id;titul;obsah;pocet_stran;rok_vydani;obalka;vydavatelstvi_id
1;Šikmý kostel;"Románová kronika ztraceného města, léta 1894–⁠1921.

Podtitul knihy lapidárně shrnuje příběh o někdejší pastevecké vesnici, která vystavěla svůj rozkvět na těžbě uhlí, aby o století později zašla na úbytě – také kvůli těžbě uhlí.

Dnes už z výstavných budov a vznosné katedrály nezbylo nic. Jen šikmý kostel, který strmě a varovně ční do pusté krajiny. Kniha začíná obrovským důlním neštěstím roku 1894, které drsně zasáhlo do života obyvatel celého kraje. Patří mezi ně i hrdinové této knihy, jejichž pohnuté osudy můžeme po následující čtvrtstoletí sledovat. Barbora, Julka a Ludwik jsou představiteli tří naprosto odlišných dějových linií, které se však na mnoha místech proplétají a vytvářejí plastický obraz polozapomenutých časů, jejichž drsnost je pro dnešního čtenáře v mnoha ohledech téměř nepředstavitelná.

Každý z hrdinů čelí životním výzvám po svém: někdo se jim trpně poddává, jiný se snaží uchopit šance, které mu kvasící doba nabízí. Do všech osudů však opakovaně a nemilosrdně zasahují velké dějiny, které úsilí obyčejného člověka mohou snadno proměnit na prach. Anebo ne.

Příběh je vystavěn na skutečných událostech, z nichž mnohé doposud nebyly v české románově tvorbě zpracovány. Vyprávění ubíhá v dramatickém tempu a natolik autenticky, že se děj před očima čtenáře mnohdy mění na film zaznamenávající i to, co donedávna zůstávalo skryto ve třinácté komnatě české historie.";400;2020;obalky/sikmy-kostel.png;1
2;Šikmý kostel 2;"Románová kronika ztraceného města, léta 1921–1945.

S Barkou, Ludwikem, Julkou a dalšími hrdiny trilogie Šikmý kostel se setkáváme vzápětí poté, co jsme je v závěru prvního dílu opustili. Zatímco ve zbytku nově vzniklého Československa nastávají zlaté časy, v Karvinné – jak se nyní město jmenuje – se stále významně projevují důsledky předešlého dramatického dění a prosakují do všech oblastí života. Ne vždy v dobrém.

I přesto lze říct, že dvacátá léta jsou pro obyvatele města relativní selankou, dobou významných společenských změn a ekonomického rozmachu. Nastupující generace se může těšit výsadám, které byly v nedávné minulosti nedosažitelné, a začínají se před ní rozprostírat dříve netušené možnosti.

Klíčící naděje však rázně ukončí hospodářská krize a vzápětí opětovný vzestup nacionalistických nálad. Napětí ve společnosti stoupá a rodiny našich hrdinů rozštěpují rozdílné názory: zatímco jedni se nadcházející hrozby obávají nebo mezi prvními nesou její ničivé důsledky, jiní probíhající změny vítají jako šanci k odčinění utrpěných křivd. Smršť událostí po nástupu německé okupace však nakonec smete všechny, protože v tomto regionu i druhá světová válka probíhala dosti jinak než ledaskde jinde.

Příběh je i tentokrát vystavěn na skutečných událostech a čtenář s překvapením zjišťuje, že mnohé z toho, co se ve druhém díle Šikmého kostela odehrává, zůstávalo po dlouhá desetiletí skryto ve třinácté komnatě dějin.";608;2021;obalky/sikmy-kostel-2.jpg;1
3;Královny nemají nohy;Trilogie známého českého autora vyšla ve velkém nákladu v sedmdesátých a osmdesátých letech a byla okamžitě rozebrána. Umění vypravěče a smysl pro humor a vtip dodaly tomuto poutavému příběhu kouzlo jedinečnosti, které ze svého půvabu nic neztratilo. Příběh šlechtice Petra Kukaně z Kukaně je vyprávěn od jeho početí a zasazen do konkrétních historických reálií rudolfinské doby plné alchymistů, čarodějek a králů. Hrdina se dostává do neuvěřitelných situací a prožívá nejpodivnější dobrodružství, která mu komplikují život. To vše díky své pravdomluvnosti, kterou nedokáže ovládnout ani když mu jde o život. Samozřejmě je díky své kráse a mužnosti milován a obdivován a milostná dobrodružství jsou ta jediná, v nichž podléhá. Jeho postoj k životu a vlastně ducha celé knihy trefně charakterizuje přísloví: Kdyby teta měla kulky, tak by to byl strýc!;440;2000;obalky/kralovny-nemaji-nohy.jpg;2
4;Prsten Borgiů;Druhý díl románové trilogie Vladimíra Neffa – Prsten Borgiů – přináší po knize Královny nemají nohy další příběhy rytíře Petra Kukaně z Kukaně, syna pražského alchymisty z doby Rudolfa II. Tentokrát se odehrávají v rudolfínské Praze, v renesanční Itálii a také na cařihradském dvoře tureckého sultána a pařížské Bastile. Neohrožený Petr Kukaň opět prochází na své dobrodružné cestě za spasením světa mnoha podiv budícími nebezpečenstvími a protivenstvími, neboť jeho ušlechtilé názory a chvályhodné záměry se znovu tvrdě střetávají s realitou mocenských zájmů v tehdejší Evropě, stojící na prahu třicetileté války. Ze všech nástrah a léček však znovu s pomocí autorova fabulačního mistrovství a jemně ironického nadhledu šťastně vyvázne. Jak tomu bude příště?;352;2000;obalky/prsten-borgiu.jpg;2
5;Krásná čarodějka;"Poslední setkání s Petrem Kukaněm z Kukaně, nazvané Krásná čarodějka, se odehrává uprostřed třicetileté války, která navzdory Petrovu úsilí zachvátila Evropu. Krvavé hrůzy, jež po sobě zanechávají postupující a rabující protestantské i katolické armády, naplňují Petra odporem a pocitem ztráty životního smyslu. Mocní tohoto světa si však ve chvílích nejtěžších na Petra vzpomenou a žádají statečného a hrdinného Petra o pomoc. Úkol, jejž je mu uložen a který Petr přijímá coby svou povinnost, tedy vyvést Evropu z válečných hrůz, je vskutku úkolem hodným Kukaňova jména. A tak se Petr setkává s Valdštejnem, rozporuplným mužem, jenž do evropských dějin první poloviny sedmnáctého století zasáhl nemalou měrou.
Stejně jako v předchozích dílech i zde vstupují do Petrova života ženy. Z náhodného střetnutí s podivnou osůbkou se vyklube veliká láska, jež významně zasáhne do Petrova života. Jeho milenkou se stává krásná čarodějka, která Petrovi nechává nahlédnout do světa magického a jako jediná nahlodá jeho víru v sílu rozumu. Jejím protihráčem je mladinká nohatá princezna - a pro Petra se vášnivá láska obou žen stane osudovou.
Valdštejnské téma jako by samo nabízelo autorovi možnost pohrát si s historickými otazníky. S ironickým odstupem a s lehkou nadsázkou píše Vladimír Neff příběh o dějinách, jak by se mohly odehrát, „kdyby...“. Rozehrává valdštejnské téma osobitým způsobem a v duchu „dumasovsky rytířských“ příběhů vypráví o osudech dobrodruha Petra, jehož údělem je boj za spravedlnost a pravdu. Autor znamenitým způsobem fabuluje, historické skutečnosti dokonale a snadno doplňuje fantazií a jakoby s radostí splétá příběhy lidí, kteří mohou stejně dobře žít ve století sedmnáctém jako ve století dvacátém. Znalost tématu, archaizovaný jazyk a především snaha vyprávět dobrodružný příběh na pozadí skutečných dějin přináší poutavé a zábavné čtení.";346;1984;obalky/krasna-carodejka.jpg;3
6;Tma;"Nové vydání přepracovaného příběhu, původně vydaného pod názvem Tma 2.0

Katastrofický román navozuje situaci v Praze r.1998 po celosvětovém výpadku elektrické energie.
Jednoho jarního pátečního odpoledne r.1998 nastává celosvětová katastrofa, absolutní konec elektrické energie. Autor domýšlí do detailů, co taková situace dokáže udělat s Prahou, českým prostředím i českou vládnoucí elitou. Elektrické zdroje jsou neobnovitelné a zhrouceného života se naplno ujímá podsvětí. Hlavní hrdina, mladý muž Honza Kryl,musí nasadit všechny své síly, aby uhájil život svůj a svých blízkých. Ujímá se opuštěné dívenky s downovým syndromem, aby brzy celý svět poznal, že právě v těchto dětech je ukryt klíč k řešení celé katastrofické situace.";400;2007;obalky/tma.jpg;4
7;K moři;Próza začínající autorky Petry Soukupové se značně vymyká kontextu současné české literatury. V centru autorčina vyprávění je životaběh několika hrdinů: obyčejných lidí formálně propojených rodinnými vztahy, avšak lidsky vzájemně velmi vzdálených. Jejich příběhy se naplno a autenticky protnou pouze jednou: při víceméně náhodně vzniklé prázdninové cestě k moři. Tvarem i myšlenkou tato próza odkazuje k Virginii Woolfové a její dnes již klasické próze K majáku. Nejde ale o napodobivé formální cvičení: z autorčiny výpovědi lze vyčíst (vzhledem k jejímu věku) až překvapivě niterný prožitek rozpadu mezilidských vztahů a nemožnosti plnohodnotné komunikace ani mezi nejbližšími.;204;2007;obalky/k-mori.jpg;5
8;Zmizet;"Intimní rodinné či partnerské vztahy jsou tradiční doménou ženských a dívčích románků. Vyšší literatura se tohoto tématu jako by bála a možná i trochu štítila…

Tím větší pozornost potom budí, dokáže-li je nějaký autor uchopit neprvoplánově, nesentimentálně a netradičně. Petře Soukupové se to podařilo hned v první knize nazvané K moři. I v jejím novém souboru tří rozsáhlých povídek jsou hlavním tématem rodinné vztahy. Tentokrát však autorka zvolila stylizaci dětského hrdiny. V prvních dvou textech jsou děti vypravěči příběhu, ve třetím je vypravěčem sice již dospělá žena, ale těžištěm jsou její vzpomínky na dětství. Ve všech povídkách se hrdinové snaží vyrovnat s určitým rodinným traumatem, které je vzdaluje od jejich blízkých, nutí je hledat identitu a místo v rodině. Nejde však o dramatické filmové zvraty, které by životy hrdinů převracely naruby, to podstatné se odehrává v nitru postav. Do tohoto velmi intimního prostoru však dokáže autorka čtenáře vtáhnout natolik, že je schopen sdílet i ta nejsubtilnější vnitřní hnutí a nazírat je jako skutečná existenciální dramata. Zdá se to být i poněkud paradoxní, neboť jazyk vyprávění téma spíše zcizuje a zaznamenává jakoby chladným okem kamery. I v tom se však projevuje vypravěčský talent Petry Soukupové. Nová kniha lapidárně nazvaná Zmizet tak představuje v rámci současné české literatury polohu, která neláká čtenáře prvoplánovou exkluzivitou, zato jej nutí přemýšlet i nad zdánlivě nedramatickými okamžiky jeho života. A mimo jiné i v tom je smysl každé dobré literatury.";344;2009;obalky/zmizet.jpg;5
9;Vyhnání Gerty Schnirch;Noc z 30. na 31.5.1945. Gerta Schnirch, matka několikaměsíční dcerky, je jen s osobními věcmi odsunuta společně s ostatními brněnskými Němci směrem na Vídeň. Vyčerpávající pochod skončí v Pohořelicích, kde mnoho vyhnanců podlehne epidemii tyfu a úplavice. Gerta a některé další německé ženy se zachrání při nucených pracích na jižní Moravě, kde setrvají i po ukončení transportů. Po znovuzískání československého občanství se Gerta vrací do Brna, v němž prožívá další bouřlivé události druhé poloviny dvacátého století.;413;2009;obalky/vyhnani-gerty-schnirch.jpg;5
10;Žítkovské bohyně;"Vysoko v kopcích Bílých Karpat jsou řídce rozeseta přikrčená stavení. Všude je daleko. Říká se, že právě proto si tam některé ženy dokázaly uchovat vědomosti a intuici, kterou jsme ztratili. Předávaly si ji z generace na generaci řadu století. Říkali jim bohyně, protože dokázaly bohovat – prosit Boha o pomoc. A jeho zásahům i trošku dopomoci… Říkalo se o nich, že vidí do budoucnosti. Proč tedy nezachránily tu svou?

Dora Idesová je poslední z bohyní. Brání se přijmout zastaralý způsob života a věštit příchozím z odlitého vosku jako její teta Surmena. Vše se ovšem mění, jakmile pochopí, že co se v jejím životě zdálo být nešťastnou shodou okolností, bylo pečlivě promyšleným plánem. Její umístění v internátě, Jakoubkova ústavní péče, hospitalizace v psychiatrické léčebně v Kroměříži… Na konci 90. let na ni v pardubickém archivu ministerstva vnitra čeká operativní svazek vedený StB na vnitřního nepřítele – její tetu Surmenu. Dora nevěřícně rozplétá neznámé osudy své rodiny i dalších bohyní…

Byly bohyně nebezpečím pro důvěřivé pacienty? Nebo byly skutečně ideologickou hrozbou normalizované společnosti? Či se o vyhlazení posledního reliktu pohanství postarala obyčejná závist a lidská zášť? Nový román Kateřiny Tučkové, autorky bestselleru Vyhnání Gerty Schnirch, je fascinujícím příběhem o ženské duši, magii a zasuté části naší historie.

Kniha bude zfilmována, objeví se na jevišti zlínského divadla a je překládána do několika jazyků.";456;2012;obalky/zitkovske-bohyne.jpg;5
11;Vitka;"Původní divadelní hra na motivy životního příběhu brněnské hudební skladatelky a dirigentky Vítězslavy Kaprálové (1915–1940) očima jiné brněnské rodačky, spisovatelky Kateřiny Tučkové.

Vitka je příběh o závratném vzestupu mladé talentované ženy, která se dokázala prosadit v oblasti dodnes vyhrazené především mužům. Její život byl fascinující směsicí výjimečného nadání, píle a neústupnosti, ale také svobodomyslnosti, kterou šokovala své okolí. Zemřela v pouhých pětadvaceti letech, válkou odříznutá od domova v jihofrancouzském Montpellieru. V té chvíli však už měla za sebou studia v Brně, Praze a Paříži, složila na čtyřicet oceňovaných skladeb, dirigovala významné evropské orchestry a byla životní i tvůrčí partnerkou Bohuslava Martinů, s jehož ženou Charlottou tvořili proslulý milostný trojúhelník. Či mnohoúhelník, vezmeme-li v úvahu její četné milence, mezi nimiž nechyběli známí představitelé meziválečné avantgardy pobývající toho času v Paříži. Kdyby přežila, byla by jednou z nejslavnějších českých žen.";176;2018;obalky/vitka.png;5
12;Divá Bára;Příběh vesnické dívky, které její okolí přezdívalo „Divá Bára“. Němcová v ní ukazuje, že dobrota srdce a ryzí povaha člověka nesouvisí ani s jeho vzhledem, ani se společenským postavením.;48;1942;obalky/diva-bara.png;6
13;Babička;Jen málokterá kniha se zapsala do srdcí čtenářů tak hluboko jako právě Babička z pera známé české spisovatelky Boženy Němcové. V průběhu let se dočkala mnohých vydání a idylický život na vesnici, jehož středobodem je postava moudré, zbožné i pověrčivé staré ženy, lákal k uměleckému ztvárnění význačné české výtvarníky a ilustrátory. Jsou díla, u kterých čas a prostor nehrají roli. Babička je toho jasným důkazem. V tomto vydání se stírají hranice časoprostoru a na jednom místě se potkávají dvě silné ženské osobnosti – Božena Němcová a Míla Fürstová, světoznámá česká malířka, grafička a ilustrátorka. Dívky, ženy, matky, tvůrkyně, umělkyně… dvě silné osobnosti, dvě mysli spojené v jedno dílo.;304;2021;obalky/babicka.jpeg;7
14;Krakatit;"Čapkův román Krakatit (časop. Lidové noviny, 25. 12. 1923 15. 4. 1924, O. Štorch-Marien 1924) vychází z obdobného vynálezu, jaký autor popsal v Továrně na absolutno. Vynálezce Prokop objeví způsob, jak nechat jakoukoliv látku rozpadnout na atomy. Při tom se výbuchem uvolní obrovské množství energie. Vyrobí látku zvanou ""krakatit""; nejstrašnější výbušninu na světě, kterou je možné přivést k výbuchu na dálku elektromagnetickými vlnami. Prokop si uvědomí dosah svého objevu - vlastník krakatitu by se mohl stát vládcem světa. Uvědomí si to i jiní a pokoušejí se Prokopa o vynález připravit. Část vzorce získá bývalý Prokopův spolupracovník Tomeš a snaží se výbušninu vyrobit také. Prokop svodům odolá, vzorec neprozradí a ke konci je svědkem tragického výbuchu laboratoře, v níž se Tomeš pokoušel výbušninu připravit. Prokop, blouznící v horečkách, se na závěr setkává s pohádkovým stařečkem - bohem a přijímá od něj smiřující poselství o dobru a nutnosti dělat pouze věci prospěšné lidem.";324;2009;obalky/krakatit.jpg;8
15;Bílá nemoc;"Popudem k napsání tohoto dramatu z r. 1937 byl podle autorových slov ""konflikt ideálů demokracie s ideály neomezených a ctižádostivých diktatur"". Jistou zemi napadla epidemie bílé nemoci. Lékař Galén proti ní vynalezl účinný lék. Lék vydá jen tehdy, když se vlády zaváží, že již nikdy nebudou válčit. Hlava státu, v němž bílá nemoc vypukla - výbojný maršál - chce dobývat svět a před ničím se nezastavuje. Bílou nemocí je napaden hlavní zbrojař země baron Krüg. Galén jej odmítá léčit, dokud nebudou splněny jeho podmínky...";122;1948;obalky/bila-nemoc.jpg;9
16;R.U.R.;Čapkovo utopistické drama, v němž se světu poprvé představilo slovo robot. Vypráví o továrně, v níž vznikají roboti, kteří pracují za lidi a umožňují tak vzniku jakéhosi ráje. Jenomže nic netrvá věčně a i roboti můžou začít myslet na sebe...;102;2004;obalky/rur.jpg;10
17;Adam stvořitel;Hlavní hrdina hry Adam se rozhodne zničit svět výstřelem z kanónu negace. To se mu povede, ale Bůh mu umožní (a vlastně i přikáže) stvořit svět od základů znovu. Otázkou je jen jaký. Po R.U.R., Krakatitu se ve spolupráci s bratrem Josefem vrátil Karel Čapek k tématu konce světa. Férie Adam Stvořitel reaguje někdy až parodicky na politická hnutí, která přinášela jednoduchá a přímočará řešení: anarchismus, socialismus, komunismus a fašismus.;92;1929;obalky/adam-stvoritel.jpg;11
18;Zářivé hlubiny;Jedná se o knižní vydání jeho povídek otiskovaných v časopisech, napsaných spolu s bratrem Josefem. (Červená povídka, L'évantail, Skandál a žurnalistika, Mezi dvěma polibky, Ostrov, Živý plamen, Zářivé hlubiny).;205;1924;obalky/zarive-hlubiny.jpeg;11
19;Rozmarné léto;Příběh tří dnů a tří nocí, v nichž zálety a milostná dobrodružství s nenadálými hosty nakrátko rozbouří poklidný život v malém městečku na řece Orši, Krokových Varech. Život kanovníka, bývalého majora, lázeňského a jeho žárlivé ženy Kateřiny zcela naruby obrátí kouzelník a krásná Anna. Kouzlo Rozmarného léta nespočívá ani tak v příběhu samotném, jako v dokonalém vystižení atmosféry ospalého českého maloměsta a ve Vančurově dokonalé a bohaté češtině. Podle románu natočil Jiří Menzel neméně kouzelný film. Rudolf Hrušínský, František Řehák, Vlastimil Brodský, Míla Myslíková, mladičká Jana Preisová a sám režisér jsou nezapomenutelní.;128;2015;obalky/rozmarne-leto.jpg;12
20;Pekař Jan Marhoul;Pekař Jan Marhoul (1924) je románovou prvotinou Vladislava Vančury. Kniha se často zařazuje do proletářské literatury, byť charakterem hlavní postavy, zobrazeným prostředím a svým vyzněním se z ní vymyká. Přesnější by bylo označit ji za dílo svého druhu, které vyniká nevšedním patosem a lyrismem, jedinečným metaforickým stylem a je velmi výrazným příkladem meziválečné avantgardní tvorby. Vančura v něm zobrazil hrdinu donquijotského typu, jehož zhoubná dobrota a s ní korespondující dětinskost utváří jeho specifické bláznovství.;138;1972;obalky/pekar-jan-marhoul.png;13
21;Markéta Lazarová;Klasický román Vladislava Vančury přináší příběh o čisté duši a čisté lásce uprostřed chladného a nemilosrdného středověku. Markéta Lazarová má být zaslíbena bohu a strávit život v bezpečí kláštera, ale namísto toho je unesena čeládkou loupežníka Kozlíka. Uprostřed nelítostné sebranky kupodivu nenachází jen ponížení, ale i lásku, pokoru a pokřivený, leč upřímný smysl pro čest. Poprvé román vyšel v roce 1931 a v roce 1967 na jeho motivy František Vláčil natočil film, který se zařadil k vrcholům české kinematografie.;240;1980;obalky/marketa-lazarova.jpg;3
22;Obsluhoval jsem anglického krále;Od dvacátých do padesátých let prožívá svůj příběh od mládí snaživý a podnikavý muž, který touží po bohatství, po lásce a uznání ve své profesi a poznává život od vybrané společnosti a velkého světa po věznění a osamocení v opuštěném pohraničí, kde končí jako cestář. Existenciální téma autor nepojímá tragicky. Hlavnímu hrdinovi samota umožňuje zbavit se touhy po majetku a uznání, zbavit se lpění na nich a dojít ke svérázné, prosté filozofii života, kde se hořkostí a samotou platí za požitek krásy a svobody.;184;2007;obalky/obsluhoval-jsem-anglickeho-krale.jpeg;14
